"","id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"2306","",NA,8400,8400,8400," 36 months"," 12.88%",282.55,"C","C2","District Manager","10+ years","OWN",130000,"Verified","Dec-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","323xx","FL",10.51,0,"Feb-1994",4,65,64,14,1,4469,"21.7%",28,"w",0,0,9741.720537288,9741.72,8400,1341.72,0,0,0,"Aug-2017",4667.22,"","May-2019",0,65,1,"Individual",NA,NA,"",0,0,36211,4,2,2,2,2,31742,96,2,4,2423,68,20600,0,0,4,6,2587,9483,29.2,0,0,6,262,1,1,4,17,NA,0,NA,1,4,5,10,19,2,12,22,5,14,0,0,0,4,95.7,10,1,0,53600,36211,13400,33000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"268896","",NA,19800,19800,19800," 60 months"," 13.99%",460.61,"C","C4","Registered nurse ","3 years","RENT",70000,"Not Verified","Jun-2015","Current","n",NA,"","debt_consolidation","Debt consolidation","211xx","MD",37.07,0,"Aug-2005",0,76,NA,13,0,41632,"56.5%",38,"w",5526.38,5526.38,21633.28,21633.28,14273.62,7359.66,0,0,0,"May-2019",460.61,"Jun-2019","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,194355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73700,NA,NA,NA,8,17669,31154,56.6,0,0,115,117,15,10,0,15,76,15,76,0,7,8,7,12,22,10,16,8,13,0,0,0,2,97.1,28.6,0,0,231459,194355,71800,157759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"205625","",NA,15000,15000,15000," 36 months"," 10.99%",491.01,"B","B4","Management ","10+ years","MORTGAGE",110000,"Source Verified","Jul-2015","Fully Paid","n",NA,"","major_purchase","Major purchase","322xx","FL",19.69,13,"Dec-1993",0,5,106,24,1,9639,"44.8%",32,"f",0,0,17631.453940269,17631.45,15000,2631.45,0,0,0,"Mar-2018",2428.46,"","May-2019",0,5,1,"Individual",NA,NA,"",0,0,369758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21500,NA,NA,NA,7,15407,3900,61.8,0,0,165,259,11,11,2,12,NA,8,28,12,3,5,5,5,21,8,9,5,24,0,0,12,2,50,40,1,0,392888,189289,10200,154979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"384774","",NA,12000,12000,12000," 60 months"," 14.31%",281.16,"C","C4","Technical Support Representative","7 years","RENT",60000,"Source Verified","Jan-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","191xx","PA",10.7,0,"Sep-1997",0,NA,NA,7,0,12252,"84.5%",26,"w",0,0,16346.2942686849,16346.29,12000,4346.29,0,0,0,"Aug-2018",4837.81,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,35633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14500,NA,NA,NA,1,5090,1407,88.3,0,0,208,84,5,5,0,5,NA,NA,NA,0,3,4,3,5,19,4,7,4,7,0,0,0,1,100,100,0,0,51389,35633,12000,36889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"269002","",NA,8600,8600,8600," 36 months","  7.89%",269.06,"A","A5","Painter","10+ years","OWN",48000,"Not Verified","May-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","554xx","MN",23.55,0,"Feb-1997",0,NA,87,11,1,13894,"46.6%",25,"w",0,0,8667.39,8667.39,8600,67.39,0,0,0,"Jul-2015",8674.93,"","Apr-2019",0,NA,1,"Individual",NA,NA,"",0,0,41171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29800,NA,NA,NA,10,3743,8883,50.4,0,0,166,219,7,6,0,12,NA,6,NA,0,4,6,5,7,10,9,15,6,11,0,0,0,4,100,40,1,0,58977,41171,17900,29177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"184450","",NA,24000,24000,24000," 36 months","  9.99%",774.3,"B","B3","Sr System Analyst","1 year","MORTGAGE",211000,"Source Verified","Aug-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","334xx","FL",7.59,1,"Apr-2000",0,3,NA,14,0,22858,"64.9%",23,"w",0,0,26959.2643995102,26959.26,24000,2959.26,0,0,0,"Mar-2017",12550.27,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,279104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34800,NA,NA,NA,0,19936,1724,85.1,0,0,124,183,28,28,2,28,NA,17,NA,0,6,11,6,9,4,12,17,11,14,0,0,0,0,95.5,83.3,0,0,316676,27442,11600,20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"217345","",NA,26000,26000,26000," 36 months","  7.26%",805.9,"A","A4","Lawyer","10+ years","MORTGAGE",4e+05,"Source Verified","Jul-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","852xx","AZ",15.91,1,"Nov-1977",2,5,NA,13,0,350831,"84.8%",43,"w",0,0,28975.313732036,28975.31,26000,2975.31,0,0,0,"May-2018",3197,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,1234868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386000,NA,NA,NA,2,94990,5465,84.8,0,0,155,452,89,13,3,107,NA,1,5,0,3,4,4,8,29,5,11,4,13,0,0,0,0,97.6,75,0,0,1435156,630402,36000,371146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"136437","",NA,20000,20000,20000," 36 months"," 12.69%",670.9,"C","C2","Purchasing Agent","1 year","RENT",58000,"Source Verified","Sep-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","920xx","CA",13.22,0,"Dec-1992",0,25,NA,13,0,13858,"66.6%",21,"w",0,0,23198.443923614,23198.44,20000,3198.44,0,0,0,"Apr-2017",11136.34,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,40790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20800,NA,NA,NA,2,3138,1232,86.2,0,0,67,142,5,5,0,38,NA,NA,NA,0,3,9,4,5,2,11,16,9,13,0,0,0,2,95.2,75,0,0,48427,40790,8900,10910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"280813","",NA,15000,15000,15000," 36 months"," 13.99%",512.6,"C","C4","Driver","< 1 year","RENT",52000,"Source Verified","May-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","210xx","MD",13.04,0,"Feb-2010",1,NA,NA,5,0,5463,"82.8%",8,"f",0,0,16027.78,16027.78,15000,1027.78,0,0,0,"Dec-2015",50.18,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,17660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6600,NA,NA,NA,2,3532,252,92.8,0,0,38,63,14,14,0,63,NA,6,NA,0,1,3,1,1,3,3,5,3,5,0,0,0,0,100,100,0,0,27758,17660,3500,21158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"271505","",NA,20000,20000,20000," 60 months"," 12.69%",451.9,"C","C2","SCHEDULER/WARRANTY SPECIALIST","5 years","MORTGAGE",43500,"Source Verified","May-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","487xx","MI",20.39,0,"Oct-1984",1,60,NA,11,0,26851,"82.1%",37,"w",0,0,26495.8006322462,26495.8,20000,6495.8,0,0,0,"Jan-2019",7078.2,"","Jan-2019",0,NA,1,"Individual",NA,NA,"",0,0,133077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32700,NA,NA,NA,4,12098,540,97.2,0,0,136,367,17,6,5,34,NA,6,60,0,4,7,4,10,7,9,25,7,11,0,0,0,1,97.3,100,0,0,144028,29780,19500,3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"266367","",NA,11200,11200,11200," 36 months"," 12.69%",375.71,"C","C2","Associate","1 year","RENT",60000,"Source Verified","May-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","554xx","MN",18.44,0,"Aug-2010",0,NA,NA,17,0,10278,"33.3%",17,"w",0,0,13260.7721325336,13260.77,11200,2060.77,0,0,0,"Jun-2017",4627.34,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,40608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30900,NA,NA,NA,8,2389,14817,39.3,0,0,57,46,7,7,0,7,NA,7,NA,0,4,5,4,4,9,8,8,5,17,0,0,0,2,100,0,0,0,66094,40608,24400,35194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"118085","",NA,15000,15000,15000," 60 months"," 19.19%",390.68,"E","E3","Lab Tech","4 years","OWN",33400,"Source Verified","Oct-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","146xx","NY",17.48,0,"Oct-2010",3,NA,NA,13,0,9278,"24.2%",13,"w",0,0,12718.77,12718.77,11348.8,1369.97,0,0,0,"May-2016",390.68,"","Feb-2017",0,NA,1,"Individual",NA,NA,"",0,0,21221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38400,NA,NA,NA,7,1768,26222,26.1,0,0,16,56,1,1,0,6,NA,0,NA,0,5,5,8,8,1,11,11,5,13,0,0,0,6,100,0,0,0,54010,21221,35500,15125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"132092","",NA,20000,20000,20000," 36 months"," 12.69%",670.9,"C","C2","SDC","3 years","MORTGAGE",85000,"Source Verified","Sep-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","189xx","PA",11.1,0,"Apr-2012",0,NA,NA,6,0,559,"2.6%",13,"f",0,0,22941.1456527056,22941.15,20000,2941.15,0,0,0,"Feb-2017",12220.85,"","Mar-2017",0,NA,1,"Individual",NA,NA,"",0,0,48372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21500,NA,NA,NA,7,8062,18941,2.9,0,0,5,41,12,5,0,12,NA,5,NA,0,1,1,3,6,2,4,11,1,6,0,0,0,3,100,0,0,0,71846,48372,19500,50346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"193279","",NA,11875,11875,11875," 36 months"," 14.65%",409.62,"C","C5","maintenance","10+ years","RENT",60000,"Source Verified","Aug-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","107xx","NY",3.42,0,"Mar-2000",0,55,NA,4,0,3680,"69.4%",9,"w",0,0,11180.59,11180.59,7956.8,2672.41,20.48,530.9,95.562,"Dec-2017",819.24,"","Mar-2019",0,NA,1,"Individual",NA,NA,"",0,0,3680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5300,NA,NA,NA,4,920,644,64.2,0,0,146,184,4,4,0,4,NA,8,NA,0,2,4,2,3,4,4,5,4,4,0,0,0,2,88.9,50,0,0,5300,3680,1800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"109343","",NA,28000,28000,28000," 60 months"," 10.99%",608.65,"B","B4","Director of Accounting","10+ years","MORTGAGE",63875,"Not Verified","Oct-2015","Current","n",NA,"","credit_card","Credit card refinancing","462xx","IN",21.35,0,"Apr-1988",0,NA,NA,7,0,27925,"77.1%",14,"f",9541.36,9541.36,26154.85,26154.85,18458.64,7696.21,0,0,0,"May-2019",608.65,"Jun-2019","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,134855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36200,NA,NA,NA,2,19265,8275,77.1,0,0,162,330,41,6,2,41,NA,14,NA,0,3,3,4,7,4,4,7,3,7,0,0,0,2,100,50,0,0,154358,57570,36200,31158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"407961","",NA,5500,5500,5500," 36 months","  6.99%",169.8,"A","A3","Food and Beverage Manager","4 years","MORTGAGE",75000,"Not Verified","Jan-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","852xx","AZ",15.94,0,"May-2003",0,45,NA,19,0,18118,"32.5%",27,"f",0,0,5725.79,5725.79,5500,225.79,0,0,0,"Aug-2015",4711.26,"","Nov-2018",0,NA,1,"Individual",NA,NA,"",0,0,123588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55700,NA,NA,NA,4,6866,16716,46.1,0,0,125,140,6,6,1,6,NA,NA,45,0,4,7,7,7,6,16,20,7,19,0,0,0,2,96.3,0,0,0,172587,33645,31000,20190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"3740","",NA,15000,15000,15000," 36 months"," 13.99%",512.6,"C","C4","Implementation Manager","4 years","OWN",55000,"Source Verified","Dec-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","980xx","WA",17.7,5,"Dec-2002",0,12,NA,13,0,13919,"48.5%",29,"w",0,0,16923.5958993303,16923.6,15000,1923.6,0,0,0,"Jan-2017",11314.15,"","Jan-2017",0,18,1,"Individual",NA,NA,"",0,1250,33649,3,2,0,0,26,19730,62,5,8,4698,56,28700,0,1,2,8,2588,6530,62,0,0,128,156,1,1,4,2,23,9,23,4,3,7,4,7,7,11,17,7,12,0,0,2,5,72.4,20,0,0,60648,33649,17200,31948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"214149","",NA,30000,30000,30000," 36 months","  7.26%",929.89,"A","A4","NSE","< 1 year","RENT",1e+05,"Verified","Jul-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","554xx","MN",14.25,0,"Oct-1990",0,NA,NA,6,0,41265,"90.3%",11,"w",0,0,33188.8261479224,33188.83,30000,3188.83,0,0,0,"Sep-2017",9953.68,"","Sep-2017",0,NA,1,"Individual",NA,NA,"",0,0,46589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45700,NA,NA,NA,2,7765,4435,90.3,0,0,68,297,11,11,1,11,NA,19,NA,0,5,5,5,6,2,5,8,5,6,0,0,0,1,100,80,0,0,56349,46589,45700,10649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"169065","",NA,25000,25000,25000," 36 months","  9.99%",806.57,"B","B3","TRADE FINANCE ","7 years","RENT",50000,"Not Verified","Aug-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","900xx","CA",29.24,0,"Jan-1990",0,40,NA,19,0,20372,"38.7%",31,"w",0,0,29022.318803921,29022.32,25000,4022.32,0,0,0,"Aug-2018",806.25,"","Apr-2019",0,NA,1,"Individual",NA,NA,"",0,0,38393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52600,NA,NA,NA,9,2133,24682,28.7,0,0,115,307,17,8,0,17,40,8,40,0,6,12,10,16,4,17,27,12,19,0,0,0,1,96.7,10,0,0,75601,38393,34600,23001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"85038","",NA,35000,35000,34900," 60 months"," 13.99%",814.21,"C","C4","Program Director","2 years","OWN",90000,"Verified","Nov-2015","Charged Off","n",NA,"","credit_card","Credit card refinancing","363xx","AL",23.27,0,"Mar-1997",0,NA,11,14,2,64523,"91%",29,"w",0,0,23575.03,23507.67,11710.31,8617.74,0,3246.98,584.4563999979,"Dec-2017",814.21,"","Jul-2018",0,NA,1,"Individual",NA,NA,"",0,0,159550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71100,NA,NA,NA,4,12273,9960,97,0,0,131,223,15,15,3,23,NA,10,NA,0,6,12,10,10,8,12,18,10,13,NA,0,0,0,100,100,0,1,188400,64523,59760,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"105143","",NA,24000,24000,24000," 36 months"," 14.65%",827.87,"C","C5","Training Mgr.","10+ years","RENT",92670,"Verified","Oct-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","940xx","CA",5.04,0,"Jun-2001",0,NA,NA,3,0,1884,"81.9%",6,"f",0,0,29767.1395377683,29767.14,24000,5767.14,0,0,0,"Nov-2018",3.32,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,8985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,3,2995,416,81.9,0,0,49,172,18,10,0,18,NA,NA,NA,0,2,2,2,2,3,2,3,2,3,0,0,0,1,100,100,0,0,10570,8985,2300,8270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"163824","",NA,15000,15000,15000," 36 months","  9.99%",483.94,"B","B3","Staff Services Manager I","4 years","RENT",65000,"Source Verified","Aug-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","956xx","CA",15.21,0,"Mar-1993",0,66,NA,16,0,14140,"54%",27,"w",0,0,17440.7428115565,17440.74,15000,2440.74,0,0,0,"Sep-2018",483.83,"","Apr-2019",0,NA,1,"Individual",NA,NA,"",0,0,37077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26200,NA,NA,NA,7,2472,2638,51.1,0,0,269,95,5,5,0,5,NA,10,NA,0,3,13,3,3,7,14,20,13,16,0,0,0,3,96.2,33.3,0,0,52346,37077,5400,26146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"210223","",NA,10000,10000,10000," 60 months"," 21.99%",276.14,"F","F1","Purchasing Aide","10+ years","MORTGAGE",89000,"Verified","Jul-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","225xx","VA",27.05,2,"Dec-1996",5,8,NA,13,0,7984,"64.9%",42,"w",0,0,12023.9,12023.9,10000,2023.9,0,0,0,"Jun-2016",9274.72,"","Jan-2019",0,16,1,"Individual",NA,NA,"",0,0,325337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12300,NA,NA,NA,5,25026,372,92.7,0,0,142,223,31,6,4,31,8,1,8,4,3,6,3,13,12,7,25,6,13,0,0,1,1,91.9,100,0,0,379411,76511,5100,87631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"12568","",NA,15000,15000,15000," 36 months"," 10.64%",488.53,"B","B4","Aircraft technician ","4 years","MORTGAGE",86000,"Source Verified","Dec-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","325xx","FL",20.19,1,"Mar-1999",1,13,57,11,1,17897,"65.3%",23,"w",0,0,17035.2873800613,17035.29,15000,2035.29,0,0,0,"Aug-2017",8211.72,"","Dec-2018",0,13,1,"Individual",NA,NA,"",0,0,190252,2,4,1,1,7,31535,70,2,2,5843,68,27400,1,0,2,4,17296,3072,75.8,0,0,162,111,2,2,1,37,NA,0,NA,0,3,5,3,7,12,5,9,5,11,0,0,1,3,91.3,33.3,0,0,217487,49432,12700,45087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"304432","",NA,15000,15000,15000," 36 months","  9.99%",483.94,"B","B3","Asstistant Director","4 years","MORTGAGE",54000,"Source Verified","Apr-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","919xx","CA",26.93,0,"Jan-1992",1,59,NA,13,0,24476,"72.2%",30,"w",0,0,15651.72,15651.72,15000,651.72,0,0,0,"Oct-2015",13724.28,"","May-2019",0,59,1,"Individual",NA,NA,"",0,0,243362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33900,NA,NA,NA,6,18720,5824,80.8,0,0,117,279,1,1,3,6,59,4,59,1,7,7,8,17,6,10,21,7,13,0,0,0,4,96.6,62.5,0,0,269599,56295,30300,45699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"149394","",NA,25000,25000,25000," 36 months","  6.89%",770.68,"A","A3","Territory Manager","4 years","MORTGAGE",120000,"Source Verified","Sep-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","217xx","MD",14.77,0,"Sep-1995",1,NA,NA,17,0,34006,"53.6%",41,"w",0,0,27662.7983765822,27662.8,25000,2662.8,0,0,0,"Jan-2018",6795.86,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,507131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63400,NA,NA,NA,8,31696,26594,56.1,0,0,130,240,4,4,6,4,NA,3,NA,0,8,8,11,18,9,13,25,8,17,0,0,0,3,100,50,0,0,558336,112808,60600,98211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"324372","",NA,35000,35000,35000," 60 months"," 12.69%",790.82,"C","C2","Manager, Account Development","10+ years","MORTGAGE",120000,"Verified","Apr-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","117xx","NY",20.6,0,"Sep-1994",0,NA,NA,27,0,35717,"53.7%",48,"w",0,0,45165.017459085,45165.02,35000,10165.02,0,0,0,"Apr-2018",17511,"","Apr-2018",0,NA,1,"Individual",NA,NA,"",0,0,404216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66500,NA,NA,NA,4,16169,15578,67.5,0,0,147,247,22,2,4,22,NA,2,NA,0,9,13,10,18,8,20,34,13,27,0,0,0,1,100,40,0,0,463395,75548,48000,48471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"356973","",NA,2500,2500,2500," 36 months"," 13.33%",84.64,"C","C3","Professional Coding Analyst","10+ years","OWN",32000,"Not Verified","Mar-2015","Fully Paid","n",NA,"","home_improvement","Home improvement","265xx","WV",29.75,0,"Dec-1996",0,32,NA,33,0,10780,"31.4%",61,"f",0,0,3043.0234694264,3043.02,2500,543.02,0,0,0,"Mar-2018",84.32,"","May-2019",0,32,1,"Individual",NA,NA,"",0,0,102567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34300,NA,NA,NA,5,3108,7514,23.3,0,0,218,197,2,2,2,2,NA,8,78,1,4,11,4,7,37,15,22,11,33,0,0,0,3,96.6,25,0,0,110062,102567,9800,75762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"312227","",NA,32000,32000,32000," 36 months","  7.89%",1001.15,"A","A5","Human Resources Assistant","< 1 year","MORTGAGE",80000,"Verified","Apr-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","234xx","VA",27.38,0,"Dec-1993",1,NA,NA,8,0,28490,"67.7%",26,"w",0,0,34516.54,34516.54,32000,2516.54,0,0,0,"Jul-2016",21489.67,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,245772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42100,NA,NA,NA,4,35110,3600,61.7,0,0,144,256,2,2,2,2,NA,2,NA,0,2,3,2,7,13,5,11,3,8,0,0,0,2,100,0,0,0,306658,48172,9400,48337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
