"","Product_ID","User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","TC_Code","Product_Category_1","Product_Category_2","Product_Category_3","Purchase"
"179741","P00252442",1003777,"M","18-25",4,"B","0",0,12,8,NA,NA,5891
"69765","P00008042",1004675,"F","18-25",4,"A","2",0,24,6,8,14,12389
"340184","P0099442",1004344,"M","26-35",1,"A","4+",0,32,6,8,NA,16467
"384501","P00030042",1005153,"M","26-35",7,"B","3",0,12,8,NA,NA,5947
"100671","P00121342",1003592,"F","55+",2,"B","2",1,38,1,5,18,19567
"66125","P00012142",1004106,"M","26-35",16,"C","1",0,4,5,NA,NA,2046
"85609","P00052842",1001219,"M","26-35",7,"C","3",1,46,10,15,NA,23868
"267283","P00223242",1005163,"M","46-50",6,"B","1",1,16,5,14,NA,8704
"148518","P00182142",1004918,"F","18-25",12,"C","1",0,22,1,5,6,11694
"12202","P00346942",1001837,"M","26-35",2,"B","1",0,22,1,5,NA,11566
"324289","P00133242",1001908,"M","55+",13,"C","3",1,10,5,NA,NA,5360
"362790","P00221442",1001836,"M","26-35",0,"A","4+",0,30,1,2,5,15445
"405820","P00201342",1002445,"M","26-35",0,"A","1",1,22,1,2,9,11455
"439358","P00270942",1001628,"M","18-25",20,"B","1",0,30,1,2,15,15201
"260242","P00347642",1004062,"M","26-35",7,"C","1",0,30,1,6,NA,15350
"166284","P00303442",1001676,"M","18-25",4,"B","4+",0,16,1,8,14,8108
"113221","P00283142",1005479,"M","36-45",1,"C","4+",0,2,13,14,16,953
"3680","P00164942",1000601,"F","18-25",20,"B","3",1,16,1,8,NA,8242
"118784","P00199442",1000323,"M","46-50",12,"C","1",0,14,5,9,NA,6893
"13557","P00148542",1002016,"F","55+",2,"C","2",1,30,1,16,17,15523
"468834","P00302342",1000204,"M","26-35",7,"B","1",1,16,8,NA,NA,7959
"115226","P00086342",1005787,"M","26-35",20,"B","0",0,18,8,NA,NA,9695
"360977","P00272942",1001594,"F","36-45",20,"B","1",0,10,5,NA,NA,5287
"203690","P00033642",1001427,"M","26-35",12,"C","2",0,10,5,8,NA,5477
"431834","P00182442",1000481,"M","46-50",7,"C","2",0,4,5,11,NA,1870
"478518","P00268442",1001685,"M","36-45",12,"B","1",0,8,8,17,NA,4213
"34624","P00240142",1005344,"F","51-55",1,"C","3",0,14,5,NA,NA,6991
"250157","P00339442",1002567,"M","26-35",0,"C","1",0,32,16,NA,NA,16354
"453875","P00187742",1003858,"F","46-50",9,"B","2",1,32,2,4,NA,16185
"335885","P00255842",1003719,"M","26-35",1,"C","3",1,40,16,NA,NA,20860
"3341","P00136542",1000543,"M","26-35",5,"B","4+",1,16,5,8,NA,8692
"276397","P00191742",1000629,"F","0-17",10,"C","2",0,6,4,11,NA,2819
"185135","P00035342",1004524,"M","26-35",2,"A","2",1,6,2,4,14,3282
"247458","P00315642",1002071,"M","46-50",7,"C","1",1,8,8,13,NA,3953
"28714","P00101042",1004380,"F","26-35",1,"C","1",0,10,5,12,NA,5306
"203426","P00278242",1001389,"M","26-35",17,"B","4+",1,30,1,NA,NA,15215
"29516","P00284642",1004482,"F","36-45",1,"A","1",0,16,5,8,NA,8622
"452455","P00192942",1003685,"M","26-35",5,"C","1",1,14,5,NA,NA,6964
"120805","P00052442",1000678,"M","26-35",0,"A","0",1,10,5,8,NA,5271
"293789","P00211142",1003328,"M","55+",19,"C","2",1,14,5,NA,NA,6895
"300441","P00226242",1004245,"M","51-55",12,"C","3",0,12,11,15,NA,6015
"442317","P00351342",1002020,"M","26-35",7,"B","0",1,30,1,2,16,15162
"77164","P00145142",1005881,"M","36-45",17,"B","1",0,8,5,NA,NA,3728
"123088","P00278642",1001040,"M","26-35",11,"C","1",1,16,5,NA,NA,8752
"161713","P00048042",1001035,"M","18-25",2,"C","1",1,22,1,6,8,11866
"305256","P00354742",1005018,"F","55+",12,"C","1",1,20,8,NA,NA,9913
"244603","P00078742",1001680,"M","26-35",20,"A","3",1,10,5,8,14,5229
"327325","P00046742",1002383,"F","26-35",14,"B","3",0,22,1,2,15,11829
"61387","P00068242",1003476,"M","51-55",0,"B","2",1,18,2,4,NA,9528
"86504","P00073842",1001340,"M","26-35",7,"A","2",0,22,1,15,17,11924
"94997","P0098742",1002687,"M","0-17",10,"C","0",0,16,8,NA,NA,8037
"175951","P00155242",1003261,"M","46-50",20,"B","1",1,10,3,4,12,5450
"430899","P00349442",1000327,"M","36-45",18,"C","4+",0,24,6,8,NA,11960
"206139","P00240442",1001769,"M","26-35",17,"C","0",1,16,6,16,NA,7958
"482024","P00045842",1002172,"M","18-25",20,"B","2",0,14,5,14,NA,7155
"408337","P00223942",1002887,"M","26-35",3,"B","3",1,10,5,8,NA,5342
"72961","P00249742",1005232,"M","26-35",4,"C","1",1,8,1,15,18,4493
"76731","P00323942",1005815,"M","26-35",20,"B","1",0,16,8,15,NA,7928
"55328","P00240142",1002486,"M","18-25",12,"A","1",0,18,5,NA,NA,8867
"367577","P00233442",1002605,"M","36-45",7,"C","0",1,22,1,2,15,11474
"386925","P00323642",1005542,"M","46-50",7,"C","1",1,20,8,NA,NA,9902
"242766","P00178942",1001420,"M","18-25",4,"C","3",0,14,5,8,NA,6933
"42174","P00024042",1000509,"M","26-35",2,"A","0",1,24,7,NA,NA,12753
"177766","P00001942",1003509,"M","18-25",4,"A","0",0,4,5,NA,NA,1843
"253099","P00223242",1003065,"F","18-25",4,"A","2",0,10,5,14,NA,5286
"218417","P00028042",1003689,"M","26-35",0,"C","1",1,22,1,16,NA,11944
"420303","P00034242",1004645,"F","51-55",6,"C","1",1,16,5,8,14,8619
"487176","P00185442",1003096,"F","46-50",3,"C","1",1,32,15,NA,NA,16605
"125846","P00141542",1001407,"F","36-45",15,"A","1",1,14,5,NA,NA,6938
"60823","P00215442",1003401,"M","36-45",7,"B","1",0,26,15,16,NA,13167
"360508","P00122342",1001501,"M","26-35",11,"A","3",0,14,5,NA,NA,6863
"224270","P00218342",1004517,"F","18-25",1,"A","0",1,10,5,NA,NA,5278
"467810","P00346242",1000026,"M","26-35",7,"B","2",1,16,1,15,NA,8212
"401044","P00069242",1001694,"M","26-35",12,"B","3",1,12,8,11,NA,5821
"170947","P00329242",1002383,"F","26-35",14,"B","3",0,14,5,14,NA,7019
"303504","P00146742",1004726,"F","36-45",16,"C","2",1,30,1,13,14,15899
"235531","P00354242",1000319,"F","51-55",6,"B","3",1,10,5,NA,NA,5177
"387164","P00196042",1005574,"M","26-35",0,"B","4+",0,6,4,9,15,3538
"10952","P00177242",1001671,"M","36-45",0,"B","2",0,2,12,NA,NA,1375
"231236","P00223642",1005659,"M","26-35",0,"C","3",1,8,11,15,NA,4433
"433233","P00128242",1000719,"M","0-17",0,"C","4+",0,4,5,12,14,1781
"39701","P00140742",1000103,"M","46-50",7,"B","2",1,38,1,15,NA,19363
"340793","P00359542",1004428,"M","26-35",14,"C","3",1,12,11,NA,NA,5986
"339742","P00036742",1004279,"M","26-35",16,"B","1",0,22,1,16,NA,11813
"116151","P00302942",1005939,"F","46-50",15,"C","1",1,16,8,NA,NA,8083
"18446","P00138542",1002907,"F","36-45",5,"A","4+",0,8,5,6,NA,3737
"453737","P00028442",1003841,"M","46-50",18,"A","4+",0,30,1,8,16,15301
"199648","P00164642",1000849,"M","26-35",3,"B","2",1,8,5,14,NA,3759
"429590","P00031042",1000136,"M","18-25",2,"B","3",0,12,8,NA,NA,6017
"290012","P00177142",1002731,"M","36-45",7,"C","1",0,16,8,13,NA,7839
"459383","P00110242",1004680,"M","36-45",0,"B","3",1,16,8,NA,NA,7913
"190391","P0095342",1005420,"F","0-17",19,"B","4+",0,18,2,4,NA,9533
"194522","P00117742",1006036,"F","26-35",15,"B","4+",1,12,8,NA,NA,6033
"3643","P00018542",1000590,"F","36-45",6,"C","1",0,40,16,NA,NA,20840
"63915","P00177842",1003808,"M","26-35",7,"A","2",1,8,8,NA,NA,4250
"148311","P00177542",1004884,"M","36-45",14,"B","1",0,38,1,8,NA,19310
"422564","P00117242",1005026,"M","26-35",17,"B","1",1,16,8,17,NA,7981
"431949","P00345842",1000509,"M","26-35",2,"A","0",1,20,2,8,14,10063
"31775","P00194542",1004867,"M","26-35",16,"A","3",0,16,8,14,NA,8118
"262954","P00293342",1004465,"M","18-25",4,"A","1",1,12,8,NA,NA,5832
"195162","P00183442",1000123,"M","36-45",9,"B","4+",1,30,1,2,NA,15205
"373542","P00201342",1003539,"F","26-35",4,"A","1",1,38,1,2,9,19429
"427073","P00102242",1005755,"F","36-45",2,"B","1",0,12,8,12,NA,5911
"232442","P00294542",1005837,"M","26-35",7,"B","0",1,16,8,NA,NA,8141
"188320","P00277642",1005070,"M","26-35",2,"A","0",0,26,2,3,10,13078
"493780","P00307342",1004017,"M","26-35",14,"C","3",0,16,8,NA,NA,7855
"330883","P00356742",1003012,"M","26-35",12,"C","1",1,10,5,NA,NA,5172
"163268","P00020842",1001242,"F","36-45",0,"A","0",1,16,8,NA,NA,7820
"469670","P00232342",1000343,"F","36-45",3,"B","2",0,12,11,NA,NA,6029
"151055","P00046442",1005340,"F","51-55",3,"C","1",1,12,8,NA,NA,5923
"58846","P00213842",1003080,"M","26-35",20,"A","4+",1,24,7,NA,NA,12429
"185766","P00345942",1004647,"M","36-45",20,"B","1",1,16,8,15,NA,8094
"197853","P00192842",1000549,"M","26-35",6,"A","3",0,16,5,14,NA,8641
"330570","P00329542",1002962,"M","36-45",3,"A","2",0,16,1,15,16,8089
"266875","P00145042",1005100,"M","51-55",6,"B","1",1,30,1,2,5,15761
"461977","P00101542",1005112,"M","36-45",13,"B","1",0,2,13,16,NA,586
"427206","P00228642",1005771,"M","26-35",7,"A","1",0,14,5,18,NA,7056
"83708","P00321042",1000949,"M","51-55",17,"B","4+",1,30,1,17,NA,15312
"9946","P00146742",1001516,"F","26-35",12,"B","1",0,36,1,13,14,19106
"443016","P00015342",1002116,"M","18-25",4,"B","4+",1,26,2,4,NA,13045
"218324","P00307642",1003679,"M","26-35",4,"A","2",0,14,5,6,NA,6959
"16242","P00221442",1002491,"M","36-45",7,"C","0",0,30,1,2,5,15778
"531407","P00351342",1003829,"F","26-35",1,"B","1",0,16,1,2,16,8047
"400949","P00275642",1001680,"M","26-35",20,"A","3",1,18,8,NA,NA,9861
"162465","P00344442",1001128,"M","26-35",1,"A","2",0,10,5,8,14,5393
"274069","P00018942",1000216,"M","46-50",13,"B","1",0,12,8,NA,NA,6025
"479429","P00317442",1001818,"M","0-17",8,"C","4+",0,30,1,8,NA,15441
"258352","P00243942",1003812,"M","36-45",17,"B","0",0,22,1,2,15,11791
"245103","P00059442",1001741,"M","36-45",7,"A","4+",1,38,6,8,16,19907
"20159","P00277442",1003189,"M","26-35",16,"A","1",0,22,1,6,15,11386
"32303","P00274342",1004956,"M","36-45",15,"B","1",1,14,2,8,14,6785
"10348","P00169642",1001597,"M","26-35",12,"B","1",1,10,5,NA,NA,5381
"356104","P00254542",1000889,"M","46-50",20,"A","1",0,16,8,13,NA,7827
"334595","P00222842",1003550,"M","26-35",5,"B","0",0,12,8,NA,NA,6042
"84310","P00057442",1001050,"M","26-35",1,"B","1",0,6,5,14,16,3447
"194843","P00010742",1000052,"M","18-25",4,"C","0",0,36,1,8,17,19185
"266398","P00340942",1005026,"M","26-35",17,"B","1",1,8,8,NA,NA,4106
"419810","P00033942",1004543,"M","26-35",2,"A","0",0,14,5,NA,NA,6978
"291867","P00196642",1003018,"M","36-45",0,"B","0",0,12,8,14,NA,6200
"207688","P00176642",1001984,"M","18-25",10,"B","2",1,24,6,8,NA,12316
"316752","P00129342",1000851,"M","18-25",4,"B","1",0,14,1,5,15,7726
"452303","P00336942",1003672,"M","36-45",5,"C","4+",0,4,5,NA,NA,1934
"25973","P00193042",1003994,"M","51-55",7,"B","2",1,14,5,6,16,6989
"339876","P00153242",1004303,"M","26-35",2,"B","3",0,12,8,NA,NA,6184
"264766","P00154442",1004757,"M","36-45",17,"C","1",0,16,8,14,NA,7844
"494253","P00101942",1004072,"M","51-55",6,"B","4+",0,16,8,17,NA,7830
"404853","P00149542",1002228,"M","26-35",12,"C","3",1,22,1,6,13,11774
"321111","P00190842",1001449,"M","36-45",20,"A","1",1,18,2,5,12,9851
"389895","P00101342",1006002,"M","51-55",0,"C","1",1,40,6,8,NA,20296
"526712","P00117942",1003195,"M","18-25",4,"B","4+",0,10,5,15,NA,5325
"227946","P00339842",1005112,"M","36-45",13,"B","1",0,16,1,14,15,8003
"430482","P00080042",1000268,"F","18-25",12,"C","1",0,10,5,14,NA,5314
"389878","P00330642",1006001,"F","26-35",7,"A","0",1,14,5,NA,NA,7061
"220106","P00032442",1003934,"M","26-35",0,"B","2",0,8,5,NA,NA,3684
"84402","P00031042",1001059,"F","26-35",0,"B","3",0,20,8,NA,NA,9920
"182032","P00129642",1004077,"F","36-45",2,"A","3",0,16,5,NA,NA,8576
"516727","P00205942",1001595,"M","36-45",1,"C","3",0,14,5,8,14,6890
"375603","P00258742",1003815,"M","26-35",17,"C","0",0,16,5,NA,NA,8798
"210348","P00120042",1002419,"M","26-35",0,"B","3",1,30,1,2,NA,15271
"297325","P00234642",1003808,"M","26-35",7,"A","2",1,22,1,6,8,11799
"490311","P00105942",1003558,"M","18-25",17,"A","3",0,14,5,NA,NA,7102
"244072","P00018042",1001611,"M","26-35",0,"B","1",0,24,15,16,NA,12470
"155969","P00304442",1000073,"M","18-25",4,"A","4+",0,30,1,16,NA,15621
"493183","P00010242",1003935,"M","36-45",18,"C","4+",0,14,5,NA,NA,7095
"396235","P00001242",1001017,"M","36-45",0,"B","2",0,14,5,11,NA,6854
"322897","P00061742",1001712,"M","26-35",0,"B","4+",0,14,5,8,NA,7177
"68746","P00121342",1004506,"M","51-55",16,"B","2",0,36,1,5,18,19235
"502011","P00339342",1005335,"M","26-35",14,"B","1",1,24,1,NA,NA,12115
"395554","P00316642",1000913,"M","26-35",0,"C","2",0,6,4,5,NA,3552
"92314","P00000142",1002166,"M","0-17",10,"C","1",0,16,3,4,5,8339
"224804","P00109542",1004614,"F","46-50",1,"B","1",0,16,8,14,17,7979
"104137","P00178242",1004042,"M","36-45",15,"B","3",1,16,8,NA,NA,7807
"391562","P0099442",1000249,"F","18-25",14,"C","2",0,32,6,8,NA,16666
"434699","P00046442",1000957,"M","36-45",1,"C","2",1,16,8,NA,NA,7863
"109760","P00128242",1004901,"M","26-35",7,"C","1",0,10,5,12,14,5193
"114344","P00051442",1005646,"M","18-25",4,"C","2",0,20,8,17,NA,9895
"495180","P00320142",1004238,"M","36-45",16,"B","3",0,14,1,8,NA,7689
"231433","P00244042",1005686,"M","55+",16,"A","1",1,8,1,2,15,3981
"365600","P00051442",1002210,"M","46-50",17,"C","0",0,20,8,17,NA,10071
"503863","P00035542",1005620,"M","36-45",14,"C","2",1,16,3,4,12,8297
"41502","P00170642",1000393,"M","36-45",17,"C","4+",0,16,5,8,NA,8674
"138887","P00249642",1003481,"M","18-25",4,"B","1",1,26,3,5,NA,13388
"242318","P00043142",1001340,"M","26-35",7,"A","2",0,4,5,14,NA,1939
"62163","P00019342",1003584,"M","18-25",0,"C","4+",1,22,1,6,15,11507
"240311","P00273542",1001088,"F","0-17",10,"A","3",0,8,8,14,NA,3881
"108884","P00184942",1004748,"M","46-50",16,"B","3",0,38,1,8,17,19597
"473429","P00302142",1000975,"M","36-45",0,"B","2",1,8,5,14,NA,3738
"535450","P00154642",1004425,"M","36-45",7,"B","1",0,16,8,NA,NA,8079
"236084","P00109842",1000415,"F","36-45",0,"A","2",1,16,8,NA,NA,7918
"101955","P00344542",1003756,"M","18-25",12,"B","4+",0,32,16,NA,NA,16464
"502840","P00310342",1005468,"M","26-35",12,"A","1",0,38,6,8,NA,19993
"234991","P00035542",1000225,"M","26-35",7,"A","0",0,22,3,4,12,11070
"84388","P00269542",1001058,"M","26-35",1,"B","2",0,6,11,15,NA,3113
"434689","P00124642",1000955,"F","51-55",7,"B","1",1,8,16,NA,NA,4543
"144104","P00004542",1004225,"F","26-35",3,"A","4+",0,16,5,8,NA,8728
"99287","P00124242",1003401,"M","36-45",7,"B","1",0,2,11,14,NA,1539
"69294","P00028442",1004591,"M","26-35",15,"A","3",0,30,1,8,16,15654
"307278","P00064042",1005361,"F","51-55",16,"A","3",0,10,3,4,12,5432
"71364","P00193542",1004961,"M","26-35",7,"C","1",1,22,1,2,NA,11915
"269333","P00002142",1005518,"M","51-55",17,"B","3",1,22,1,5,8,11529
"43607","P00210942",1000731,"M","46-50",3,"A","0",1,16,5,12,NA,8755
"234390","P00298442",1000137,"F","46-50",6,"C","4+",1,32,16,NA,NA,16362
"183870","P00325742",1004354,"M","36-45",14,"B","2",0,20,2,9,NA,10100
"76161","P00154042",1005747,"M","26-35",0,"B","4+",1,22,1,2,15,11776
"462702","P00280842",1005261,"M","36-45",12,"A","3",0,16,1,8,NA,7992
"1871","P00213742",1000302,"M","18-25",4,"B","4+",0,16,8,NA,NA,7952
"100195","P00227142",1003521,"M","26-35",0,"B","3",0,14,5,NA,NA,7145
"170771","P00001042",1002340,"M","36-45",2,"A","2",0,30,1,2,16,15495
"486914","P00146442",1003054,"M","18-25",4,"B","1",1,18,8,NA,NA,9842
"168825","P00304142",1002024,"M","0-17",19,"C","2",0,10,5,11,NA,5320
"138468","P00171742",1003417,"F","18-25",2,"C","2",1,6,5,NA,NA,3611
"41963","P0094142",1000465,"M","18-25",19,"C","2",0,2,4,5,NA,763
"185265","P00284142",1004548,"M","18-25",2,"A","4+",0,6,3,4,NA,2831
"200671","P00249742",1001015,"M","36-45",3,"A","4+",1,8,1,15,18,4180
"300893","P00194142",1004312,"M","26-35",18,"A","0",1,12,11,16,NA,6159
"433074","P00033342",1000697,"F","51-55",6,"A","3",1,16,5,14,NA,8653
"411803","P00151342",1003420,"F","26-35",7,"A","3",0,24,7,NA,NA,12205
"525050","P00129642",1002916,"M","46-50",2,"C","3",0,16,5,NA,NA,8755
"282028","P00050342",1001448,"F","26-35",3,"A","1",0,14,5,8,17,7023
"475843","P00126142",1001296,"M","0-17",0,"C","4+",0,16,8,16,NA,8111
"127429","P00190142",1001635,"M","26-35",0,"B","1",0,22,3,4,5,11075
"515394","P00370242",1001378,"F","46-50",7,"C","3",1,8,5,NA,NA,3768
"475643","P00041942",1001268,"M","51-55",2,"B","1",1,4,5,18,NA,1901
"59234","P00271142",1003151,"F","26-35",0,"C","1",0,16,5,NA,NA,8660
"53565","P00057342",1002145,"M","18-25",10,"C","2",1,6,4,5,NA,2780
"431405","P00227942",1000411,"F","46-50",1,"B","0",1,12,2,5,NA,6467
"51527","P00065642",1001882,"M","36-45",16,"C","4+",0,32,15,NA,NA,17129
"202158","P00142142",1001203,"F","26-35",1,"A","3",0,30,1,2,15,15498
"185886","P00187242",1004662,"F","18-25",4,"B","1",1,2,4,5,NA,1406
"18364","P00315642",1002895,"M","26-35",11,"B","4+",0,18,8,13,NA,9812
"412210","P00250242",1003479,"M","18-25",4,"C","2",0,14,5,NA,NA,6963
"250726","P00085042",1002680,"M","26-35",12,"C","1",1,6,5,6,NA,3588
"386027","P00108542",1005422,"M","51-55",7,"A","2",1,16,5,8,14,8816
"304469","P00110542",1004889,"M","18-25",4,"C","3",0,16,8,NA,NA,7881
"344150","P00189642",1004964,"M","36-45",0,"A","1",1,12,8,13,NA,5905
"140387","P00090542",1003683,"M","26-35",2,"B","3",1,40,16,NA,NA,20490
"391874","P00163442",1000302,"M","18-25",4,"B","4+",0,24,6,8,13,12223
"420940","P00275642",1004747,"M","18-25",4,"C","1",0,12,8,NA,NA,5909
"368736","P00198542",1002820,"F","36-45",0,"A","2",0,14,8,NA,NA,7766
"171881","P00114342",1002572,"M","36-45",14,"C","1",0,30,1,8,17,15672
"407573","P00266942",1002776,"M","26-35",14,"C","4+",0,16,8,13,14,8033
"399657","P00217442",1001496,"M","26-35",17,"A","2",0,22,1,2,11,11483
"134881","P00288542",1002847,"M","18-25",4,"A","3",0,20,8,NA,NA,10036
"148787","P00112342",1004958,"M","18-25",7,"B","1",0,2,13,16,NA,576
"327662","P0095542",1002455,"M","36-45",7,"A","1",0,18,2,4,9,9781
"312895","P00002442",1000204,"M","26-35",7,"B","1",1,12,8,15,NA,5817
"18523","P00185342",1002909,"M","26-35",7,"A","1",0,20,3,4,NA,10683
"325244","P00148242",1002031,"M","36-45",20,"A","3",0,14,8,NA,NA,7795
"267700","P00145942",1005253,"F","55+",13,"C","1",0,32,6,8,13,16469
"216392","P00177842",1003430,"F","46-50",1,"B","1",1,18,8,NA,NA,9861
"84160","P00110542",1001019,"M","36-45",1,"A","4+",1,18,8,NA,NA,9850
"222071","P00088442",1004222,"F","46-50",17,"C","2",0,18,8,NA,NA,9769
"260054","P00074042",1004041,"M","18-25",3,"B","2",0,16,16,NA,NA,8352
"35701","P00022442",1005511,"M","46-50",1,"B","1",1,16,8,16,NA,8018
"81978","P00252142",1000673,"M","26-35",20,"A","4+",0,18,8,NA,NA,9795
"376427","P00244142",1003929,"M","26-35",5,"B","1",1,8,1,2,15,4253
"41840","P00245642",1000442,"M","26-35",1,"A","2",0,14,5,11,12,7167
"142170","P00282342",1003929,"M","26-35",5,"B","1",1,6,2,NA,NA,3497
"151175","P00194542",1005361,"F","51-55",16,"A","3",0,12,8,14,NA,6178
"120337","P00112442",1000587,"M","26-35",20,"B","3",0,16,6,8,NA,8069
"377813","P00286642",1004107,"F","26-35",0,"B","1",0,12,11,14,NA,5959
"368762","P00337842",1002824,"M","18-25",4,"C","3",0,14,5,NA,NA,7180
"329816","P00229342",1002851,"F","26-35",7,"A","3",1,10,5,14,NA,5315
"141081","P00335242",1003773,"M","36-45",6,"B","1",0,6,5,8,NA,3446
"55738","P00090842",1002567,"M","26-35",0,"C","1",0,8,11,15,NA,4502
"299893","P00024742",1004140,"M","26-35",0,"B","4+",0,16,8,11,NA,8060
"507987","P00153642",1000234,"M","36-45",7,"C","2",0,18,8,NA,NA,9791
"6237","P00045842",1001015,"M","36-45",3,"A","4+",1,14,5,14,NA,7150
"305214","P00302542",1005011,"M","18-25",4,"B","1",0,14,5,NA,NA,7022
"460252","P00346542",1004837,"M","26-35",5,"B","2",0,26,10,13,16,13999
"400738","P00033542",1001659,"F","18-25",9,"C","4+",1,14,5,NA,NA,6873
"16240","P00194642",1002491,"M","36-45",7,"C","0",0,30,1,6,13,15453
"28448","P00217942",1004344,"M","26-35",1,"A","4+",0,10,5,NA,NA,5243
"19619","P00005042",1003082,"F","36-45",6,"B","1",0,38,6,16,NA,20139
"130211","P0096442",1002003,"M","0-17",10,"C","1",0,6,4,5,12,3446
"267944","P00106742",1005294,"M","26-35",2,"A","0",1,20,3,5,NA,10796
"258105","P00294542",1003777,"M","18-25",4,"B","0",0,16,8,NA,NA,8020
"29181","P00341742",1004447,"M","46-50",5,"B","0",1,32,15,NA,NA,16918
"245631","P00177842",1001825,"M","26-35",7,"C","4+",1,8,8,NA,NA,4257
"117328","P00112942",1000093,"M","26-35",17,"B","1",1,22,1,16,NA,11531
"465108","P00255842",1005643,"F","36-45",1,"A","3",1,24,16,NA,NA,12791
"265195","P00331842",1004823,"M","18-25",4,"B","0",1,32,16,NA,NA,16613
"482657","P00042142",1002265,"M","55+",13,"C","1",1,30,1,2,6,15249
"124336","P00101842",1001197,"M","36-45",1,"C","1",0,30,6,16,NA,15930
"421742","P00170642",1004892,"M","26-35",12,"A","1",0,14,5,8,NA,7106
"287893","P0095142",1002288,"M","0-17",10,"B","2",0,20,2,4,NA,10062
"312893","P00029542",1000204,"M","26-35",7,"B","1",1,22,1,2,18,11546
"37939","P00114942",1005836,"M","26-35",0,"C","1",0,30,1,15,16,15393
"176141","P00241242",1003283,"M","36-45",16,"C","0",1,14,1,11,15,7747
"113766","P00160642",1005555,"M","0-17",10,"B","2",0,16,1,11,15,8067
"409159","P00303042",1003001,"M","18-25",4,"B","1",0,16,5,NA,NA,8795
"70299","P00113242",1004779,"M","46-50",3,"C","2",1,38,1,6,8,19637
"124124","P00176742",1001170,"M","55+",3,"A","2",1,20,8,14,NA,9987
"228662","P00313242",1005256,"M","26-35",16,"B","4+",1,14,8,NA,NA,7757
"305839","P00121042",1005103,"F","36-45",16,"C","1",0,34,15,NA,NA,17286
"378673","P00352942",1004262,"F","36-45",6,"C","3",0,30,1,2,NA,15646
"80633","P00139542",1000424,"M","26-35",17,"A","3",0,10,5,NA,NA,5151
"185983","P00242742",1004678,"M","36-45",2,"A","1",0,8,1,2,9,4449
"99652","P00210042",1003457,"M","26-35",20,"C","1",0,12,8,14,NA,5905
"504713","P00175642",1005752,"F","55+",0,"B","3",1,12,8,NA,NA,6054
"352679","P00125942",1000309,"M","26-35",4,"B","1",0,30,1,2,15,15519
"454735","P00001942",1003997,"M","36-45",17,"B","1",1,8,5,NA,NA,3721
"333788","P00129542",1003454,"M","18-25",0,"A","1",1,20,8,14,NA,9900
"124789","P00157342",1001264,"M","26-35",1,"A","3",0,14,8,NA,NA,7768
"21733","P00129542",1003423,"M","26-35",7,"C","2",0,18,8,14,NA,9849
"446962","P00003642",1002872,"M","26-35",20,"B","1",0,16,8,NA,NA,8130
"384957","P00262242",1005250,"M","51-55",6,"B","4+",1,30,1,11,16,15766
"203429","P00322942",1001389,"M","26-35",17,"B","4+",1,6,2,8,16,3466
"227045","P00249442",1004984,"M","36-45",0,"A","1",1,6,5,8,14,3470
"78485","P00183242",1000058,"M","26-35",2,"B","3",0,14,5,15,NA,6975
"46383","P00259342",1001141,"F","26-35",3,"B","1",1,10,5,9,NA,5362
"195713","P00117242",1000199,"M","18-25",4,"B","1",0,16,8,17,NA,8026
"227055","P00162042",1004987,"F","55+",8,"A","0",0,24,1,6,NA,12000
"492000","P00211142",1003773,"M","36-45",6,"B","1",0,14,5,NA,NA,7070
"506672","P00274442",1000018,"F","18-25",3,"B","3",0,30,1,18,NA,15176
"60110","P00343542",1003301,"F","26-35",2,"B","3",0,12,8,11,NA,6097
"505331","P00018042",1005837,"M","26-35",7,"B","0",1,32,15,16,NA,16686
"335465","P00157542",1003675,"M","36-45",7,"B","3",0,18,8,14,NA,9773
"361412","P00349942",1001643,"M","46-50",2,"C","4+",0,22,1,5,NA,11627
"350067","P00198742",1005915,"M","18-25",4,"C","0",0,22,1,2,11,11603
"307235","P00001142",1005353,"M","26-35",6,"C","4+",1,10,5,8,14,5417
"31674","P00177842",1004843,"M","55+",1,"C","2",0,16,8,NA,NA,7902
"276969","P00046942",1000721,"F","36-45",9,"B","1",0,24,16,NA,NA,12905
"526311","P00187842",1003116,"M","26-35",12,"C","4+",0,30,1,16,NA,15659
"401634","P00345642",1001764,"M","18-25",0,"B","1",0,36,1,15,16,19214
"257271","P00313242",1003673,"M","26-35",2,"B","1",0,18,8,NA,NA,9735
"509661","P00176742",1000524,"M","18-25",0,"A","0",0,16,8,14,NA,8032
"288474","P00221142",1002424,"M","26-35",17,"C","3",0,38,1,NA,NA,19421
"532556","P00359742",1003999,"M","36-45",17,"B","4+",0,22,1,5,NA,11573
"533667","P00029242",1004140,"M","26-35",0,"B","4+",0,12,8,NA,NA,5900
"414103","P00344042",1003727,"M","36-45",7,"B","1",0,6,18,NA,NA,3067
"143941","P00161442",1004186,"M","26-35",7,"B","1",1,4,5,14,NA,1890
"190546","P00005042",1005442,"M","26-35",7,"C","3",1,38,6,16,NA,19989
"259256","P00001042",1003934,"M","26-35",0,"B","2",0,16,1,2,16,8065
"46379","P00084842",1001141,"F","26-35",3,"B","1",1,18,8,16,NA,9834
"256396","P00054942",1003559,"M","18-25",4,"C","2",0,16,5,8,NA,8570
"311104","P00194442",1005954,"M","46-50",11,"A","2",1,14,5,NA,NA,7155
